identifier;title;author;source_date;publication_date;source;type
2021_Masternak-Zbigniew_Rebelianci;Rebelianci i komedianci;Zbigniew Masternak;2021;2021;;literary
2020_Tabaczynski-Michal_Pokolenie;Pokolenie wyżu depresyjnego;Michał Tabaczyński;2020;2020;;literary
2022_Szczygiel-Mariusz_Fakty-musza;Fakty muszą zatańczyć;Mariusz Szczygieł;2022;2022;;literary
2022_Szerszen-Tomasz_Wszystkie;Wszystkie wojny świata;Tomasz Szerszeń;2022;2022;;literary
38_3_1989_Fiut_Widmo;Widmo nieokreśloności (O Witoldzie Gombrowiczu i Czesławie Miłoszu;Fiut, Aleksander;1999;1989/1998;Być (albo nie być) środkowoeuropejczykiem;literary
1963_Herling-Grudzinski_Siedem-smierci;Siedem śmierci Maksyma Gorkiego;Gustaw Herling-Grudziński;2017;1954/1963;Polski esej literacki. Antologia;literary
1962_Herbert-Zbigniew_Lascaux;Lascaux;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_U-Dorow;U Dorów;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Arles;Arles;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Il Duomo;Il Duomo;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Siena;Siena;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
1962_Herbert-Zbigniew_Kamien;Kamień z katedry;Zbigniew Herbert;1962;2008?;Barbarzyńca w ogrodzie https://edukacja.3bird.pl/download/filozofia/sredniowiecze/filozofia-zbigniew-herbert-barbarzynca-w-ogrodzie.pdf;literary
